date,buy and hold 1x,news aggressive tiers,news conservative tiers,news high-conviction 3x/cash,news rising-score tiers,news 5-day smoothed tiers,news 10-day smoothed tiers
2021-05-17,100.0,99.0,100.0,99.0,100.0,99.0,100.0
2021-05-18,99.14827070406353,97.31117956547524,99.14827070406353,99.0000392857134,99.14827070406353,97.31117956547524,99.14827070406353
2021-05-19,98.85643654814953,96.73598964323622,98.85643654814953,99.0000589285779,98.85643654814953,96.73598964323622,98.85643654814953
2021-05-20,99.89984070684783,98.77572166761686,99.89984070684783,99.0000707142993,99.89984070684783,98.77572166761686,99.89984070684783
2021-05-21,99.82153115176854,98.61850134594093,99.82153115176854,99.00008250002209,99.82153115176854,98.61850134594093,99.82153115176854
2021-05-24,100.81089151388073,98.59997874685278,100.81089151388073,99.00009428574629,98.82332760493141,100.57101511047357,100.81089151388073
2021-05-25,100.59663976126903,98.39042581128449,100.59663976126903,99.0001335714971,98.82336682053672,100.14109675899812,100.59663976126903
2021-05-26,100.78544120168634,98.5750865928029,100.78544120168634,99.00015321438032,98.82338642834716,100.51458551743008,100.78544120168634
2021-05-27,100.90288794192357,98.68995757467181,100.90288794192357,99.00017285726743,98.8234060361615,100.74643458598257,100.90288794192357
2021-05-28,100.98047034522587,98.76583849588837,100.98047034522587,99.00020428589522,98.82343740867283,99.81565772818135,100.98047034522587
2021-06-01,100.93075427453827,98.71721276270061,100.93075427453827,99.0002435716897,98.82347662432171,99.76651513379278,100.93075427453827
2021-06-02,101.07679449916719,98.86005013699975,101.07679449916719,99.00030250040479,98.82353544781839,99.91087078024869,101.07679449916719
2021-06-03,100.71001679720607,98.50131634271317,100.71001679720607,99.00036142915496,98.82359427135007,99.54832386958249,100.71001679720607
2021-06-04,101.59969872459925,99.37148639889553,101.59969872459925,99.00042035794021,98.82365309491678,100.42774329046682,101.59969872459925
2021-06-07,101.51875031226479,98.21859618070008,101.51875031226479,99.00049107252313,98.82372368323738,99.26259856866753,101.51875031226479
2021-06-08,101.53651861778299,98.25056108440766,101.53651861778299,99.00056964433969,97.85261008916414,99.2949032393551,101.53651861778299
2021-06-09,101.35132947974166,97.88975183373422,101.35132947974166,99.00064821621861,97.67413991149614,98.93025881149575,101.35132947974166
2021-06-10,101.82284049409728,98.79815726296087,101.82284049409728,99.00072678815988,98.12854374637811,99.84832002358057,101.82284049409728
2021-06-11,102.02123564666896,99.18073786557329,102.02123564666896,99.00079750296167,98.3197408030869,100.23496721926445,102.02123564666896
