strategy,detail,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,ending_value,trades,trading_costs_total,funding_costs_total,turnover_notional,avg_leverage,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,cagr_delta_pp_vs_buy_hold,ending_value_delta_vs_buy_hold
buy and hold 1x,Always 1x SPX exposure,0.2030638588478484,0.1689387989618652,0.7689199898466529,1.0589255193773193,0.7986748758085744,-0.2542509661923039,251.7380190946549,0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0
news conservative tiers,"Score <=4 cash, 5-6 1x, 7 2x, >=8 3x",0.2030638588478484,0.1689387989618652,0.7689199898466529,1.0589255193773193,0.7986748758085744,-0.2542509661923039,251.7380190946549,0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0
news 10-day smoothed tiers,Conservative thresholds applied to 10-trading-day average score,0.2030638588478484,0.1689387989618652,0.7689199898466529,1.0589255193773193,0.7986748758085744,-0.2542509661923039,251.7380190946549,0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0
news high-conviction 3x/cash,3x only when score >=7; otherwise cash,0.11828376150504116,0.0011655056009234827,29.805658918686763,,,0.0,173.01995676535068,1,1.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,-8.478009734280722,-78.71806232930422
news 5-day smoothed tiers,Aggressive thresholds applied to 5-trading-day average score,0.09409187265209229,0.2238054804145085,0.7893974302374083,1.083449144253455,0.28164121424861127,-0.3340841748006213,155.11849287144003,75,89.38142592783908,11.86235055411036,8938.14259278391,1.4546178343949046,0.0,54.538216560509554,45.461783439490446,0.0,-10.89719861957561,-96.61952622321488
news aggressive tiers,"Score <=3 cash, 4-5 1x, 6-7 2x, >=8 3x",0.08511535419647909,0.20859320406144627,0.839273280269754,1.152295621768817,0.2855486063387504,-0.29807658768786116,148.86623365039154,81,93.50731402436439,8.301658109320888,9350.73140243644,1.3272292993630572,0.0,67.27707006369427,32.72292993630573,0.0,-11.79485046513693,-102.87178544426337
news rising-score tiers,2x/3x only when score is >=7 and rising; 1x when bullish but not rising,0.020075341977990435,0.06736862495063528,1.3010623288266652,0.9676381967016373,0.1221801556849394,-0.16430935011867098,110.4353398340694,80,83.9394861613044,0.0,8393.948616130436,0.29538216560509556,70.46178343949045,29.538216560509557,0.0,0.0,-18.298851686985795,-141.3026792605855
